,activity,start_time,end_time,time_span,sequence_in_a_day,label
49,R1_Bed_to_Toilet,2009-03-13 06:05:54,2009-03-13 06:23:33,1059,1,1
50,R1_Bed_to_Toilet,2009-03-23 09:12:59,2009-03-23 09:14:55,116,1,1
51,R1_Bed_to_Toilet,2009-03-25 07:41:04,2009-03-25 08:04:23,1399,1,0
52,R1_Bed_to_Toilet,2009-03-26 02:36:05,2009-03-26 02:37:34,89,1,1
53,R1_Bed_to_Toilet,2009-03-27 04:46:41,2009-03-27 04:48:04,83,1,1
54,R1_Bed_to_Toilet,2009-03-31 08:07:13,2009-03-31 08:09:13,120,1,1
55,R1_Bed_to_Toilet,2009-04-01 07:47:47,2009-04-01 08:11:53,1446,1,0
56,R1_Bed_to_Toilet,2009-04-03 04:01:41,2009-04-03 04:23:21,1300,1,0
57,R1_Bed_to_Toilet,2009-04-03 04:25:32,2009-04-03 04:27:41,129,2,1
58,R1_Bed_to_Toilet,2009-04-03 05:02:13,2009-04-03 05:06:16,243,3,1
59,R1_Bed_to_Toilet,2009-04-03 05:51:07,2009-04-03 05:53:34,147,4,1
60,R1_Personal_Hygiene,2009-02-02 07:21:04,2009-02-02 07:38:34,1050,1,1
61,R1_Personal_Hygiene,2009-02-04 07:40:06,2009-02-04 07:46:36,390,1,1
62,R1_Personal_Hygiene,2009-02-05 23:06:31,2009-02-05 23:10:27,236,1,1
63,R1_Personal_Hygiene,2009-02-06 07:34:25,2009-02-06 07:54:02,1177,1,1
64,R1_Personal_Hygiene,2009-02-09 07:49:25,2009-02-09 08:09:05,1180,1,1
65,R1_Personal_Hygiene,2009-02-09 20:40:33,2009-02-09 20:45:34,301,2,1
66,R1_Personal_Hygiene,2009-02-10 11:51:47,2009-02-10 11:56:08,261,1,1
67,R1_Personal_Hygiene,2009-02-16 19:13:57,2009-02-16 19:15:06,69,1,1
68,R1_Personal_Hygiene,2009-02-17 08:37:25,2009-02-17 08:55:08,1063,1,1
69,R1_Personal_Hygiene,2009-02-17 19:13:02,2009-02-17 19:18:10,308,2,1
70,R1_Personal_Hygiene,2009-02-18 08:01:11,2009-02-18 08:07:35,384,1,1
71,R1_Personal_Hygiene,2009-02-19 07:08:20,2009-02-19 07:12:15,235,1,1
72,R1_Personal_Hygiene,2009-02-20 05:44:35,2009-02-20 06:02:00,1045,1,1
73,R1_Personal_Hygiene,2009-02-23 07:54:53,2009-02-23 08:01:57,424,1,1
74,R1_Personal_Hygiene,2009-02-23 08:31:30,2009-02-23 08:35:23,233,2,1
75,R1_Personal_Hygiene,2009-02-24 08:47:45,2009-02-24 09:15:17,1652,1,1
76,R1_Personal_Hygiene,2009-02-25 07:34:27,2009-02-25 08:02:45,1698,1,1
77,R1_Personal_Hygiene,2009-02-26 08:47:52,2009-02-26 09:11:18,1406,1,1
78,R1_Personal_Hygiene,2009-02-27 07:49:30,2009-02-27 08:07:34,1084,1,1
79,R1_Personal_Hygiene,2009-03-02 17:41:32,2009-03-02 17:46:34,302,1,1
80,R1_Personal_Hygiene,2009-03-02 20:15:17,2009-03-02 20:37:41,1344,2,1
81,R1_Personal_Hygiene,2009-03-03 09:30:47,2009-03-03 09:56:14,1527,1,1
82,R1_Personal_Hygiene,2009-03-04 07:00:44,2009-03-04 07:25:36,1492,1,1
83,R1_Personal_Hygiene,2009-03-05 07:01:02,2009-03-05 07:22:28,1286,1,1
84,R1_Personal_Hygiene,2009-03-06 08:03:01,2009-03-06 08:14:57,716,1,1
85,R1_Personal_Hygiene,2009-03-09 08:07:52,2009-03-09 08:14:05,373,1,1
86,R1_Personal_Hygiene,2009-03-10 08:48:06,2009-03-10 09:29:34,2488,1,0
87,R1_Personal_Hygiene,2009-03-11 07:47:26,2009-03-11 08:10:26,1380,1,1
88,R1_Personal_Hygiene,2009-03-11 08:10:36,2009-03-11 08:14:18,222,2,1
89,R1_Personal_Hygiene,2009-03-12 07:16:16,2009-03-12 07:24:33,497,1,1
90,R1_Personal_Hygiene,2009-03-13 06:23:48,2009-03-13 06:31:26,458,1,1
91,R1_Personal_Hygiene,2009-03-13 06:34:29,2009-03-13 06:36:01,92,2,1
92,R1_Personal_Hygiene,2009-03-13 07:32:43,2009-03-13 07:40:35,472,3,0
93,R1_Personal_Hygiene,2009-03-23 09:44:11,2009-03-23 09:54:14,603,1,1
94,R1_Personal_Hygiene,2009-03-23 21:31:03,2009-03-23 21:41:18,615,2,1
95,R1_Personal_Hygiene,2009-03-24 09:10:19,2009-03-24 09:26:43,984,1,1
96,R1_Personal_Hygiene,2009-03-25 08:06:22,2009-03-25 08:35:25,1743,1,1
97,R1_Personal_Hygiene,2009-03-25 12:32:29,2009-03-25 12:43:05,636,2,1
98,R1_Personal_Hygiene,2009-03-26 07:36:07,2009-03-26 07:39:03,176,1,1
99,R1_Personal_Hygiene,2009-03-26 09:10:54,2009-03-26 09:33:51,1377,2,1
100,R1_Personal_Hygiene,2009-03-27 07:47:30,2009-03-27 08:20:29,1979,1,1
101,R1_Personal_Hygiene,2009-03-31 08:54:38,2009-03-31 09:28:15,2017,1,1
102,R1_Personal_Hygiene,2009-04-01 08:12:18,2009-04-01 08:20:26,488,1,1
103,R1_Personal_Hygiene,2009-04-02 08:51:59,2009-04-02 09:28:29,2190,1,0
104,R1_Personal_Hygiene,2009-04-03 06:01:55,2009-04-03 06:04:22,147,1,1
105,Meal_Preparation,2009-02-02 07:47:19,2009-02-02 07:55:24,485,1,1
106,Meal_Preparation,2009-02-02 10:19:50,2009-02-02 10:41:52,1322,2,1
107,Meal_Preparation,2009-02-02 17:47:19,2009-02-02 18:56:56,4177,3,1
108,Meal_Preparation,2009-02-03 08:06:11,2009-02-03 17:57:37,35486,1,0
109,Meal_Preparation,2009-02-04 07:01:27,2009-02-04 07:40:06,2319,1,1
110,Meal_Preparation,2009-02-04 07:53:28,2009-02-04 08:14:06,1238,2,1
111,Meal_Preparation,2009-02-04 10:31:49,2009-02-04 10:45:08,799,3,1
112,Meal_Preparation,2009-02-04 10:52:26,2009-02-04 11:58:51,3985,4,1
113,Meal_Preparation,2009-02-05 07:23:49,2009-02-05 07:24:41,52,1,1
114,Meal_Preparation,2009-02-05 08:05:21,2009-02-05 08:12:59,458,2,1
115,Meal_Preparation,2009-02-05 12:13:42,2009-02-05 12:41:34,1672,3,1
116,Meal_Preparation,2009-02-05 18:42:13,2009-02-05 18:46:05,232,4,1
117,Meal_Preparation,2009-02-06 08:04:01,2009-02-06 08:25:09,1268,1,1
118,Meal_Preparation,2009-02-06 09:30:47,2009-02-06 09:59:57,1750,2,1
119,Meal_Preparation,2009-02-06 11:09:26,2009-02-06 11:28:37,1151,3,1
120,Meal_Preparation,2009-02-06 15:09:17,2009-02-06 15:28:38,1161,4,1
121,Meal_Preparation,2009-02-09 08:23:14,2009-02-09 08:30:32,438,1,1
122,Meal_Preparation,2009-02-09 09:37:53,2009-02-09 10:02:00,1447,2,1
123,Meal_Preparation,2009-02-09 18:33:29,2009-02-09 18:45:30,721,3,1
124,Meal_Preparation,2009-02-10 10:13:27,2009-02-10 10:32:46,1159,1,1
125,Meal_Preparation,2009-02-10 11:11:17,2009-02-10 11:19:44,507,2,1
126,Meal_Preparation,2009-02-10 13:05:24,2009-02-10 17:42:23,16619,3,0
127,Meal_Preparation,2009-02-10 18:09:13,2009-02-10 18:45:52,2199,4,1
128,Meal_Preparation,2009-02-10 19:55:08,2009-02-10 20:08:09,781,5,0
129,Meal_Preparation,2009-02-11 07:31:27,2009-02-11 16:12:04,31237,1,0
130,Meal_Preparation,2009-02-12 07:14:21,2009-02-12 07:27:54,813,1,1
131,Meal_Preparation,2009-02-12 08:27:11,2009-02-12 20:28:47,43296,2,0
132,Meal_Preparation,2009-02-13 08:46:00,2009-02-13 11:31:49,9949,1,1
133,Meal_Preparation,2009-02-13 17:08:48,2009-02-13 21:49:07,16819,2,0
134,Meal_Preparation,2009-02-16 08:11:33,2009-02-16 08:48:03,2190,1,1
135,Meal_Preparation,2009-02-17 07:05:06,2009-02-17 07:11:35,389,1,1
136,Meal_Preparation,2009-02-17 17:18:01,2009-02-17 18:38:18,4817,2,1
137,Meal_Preparation,2009-02-18 08:21:02,2009-02-18 08:31:32,630,1,1
138,Meal_Preparation,2009-02-18 17:23:41,2009-02-18 20:29:23,11142,2,1
139,Meal_Preparation,2009-02-19 07:13:13,2009-02-19 07:31:10,1077,1,1
140,Meal_Preparation,2009-02-19 08:14:49,2009-02-19 08:51:50,2221,2,1
141,Meal_Preparation,2009-02-19 11:36:19,2009-02-19 12:59:06,4967,3,1
142,Meal_Preparation,2009-02-19 18:21:58,2009-02-19 18:38:29,991,4,1
143,Meal_Preparation,2009-02-20 08:10:21,2009-02-20 08:49:49,2368,1,1
144,Meal_Preparation,2009-02-20 17:50:01,2009-02-20 18:25:55,2154,2,1
145,Meal_Preparation,2009-02-23 08:09:52,2009-02-23 08:18:00,488,1,1
146,Meal_Preparation,2009-02-23 10:53:04,2009-02-23 11:06:42,818,2,1
147,Meal_Preparation,2009-02-23 16:35:04,2009-02-23 17:51:37,4593,3,1
148,Meal_Preparation,2009-02-24 08:01:34,2009-02-24 08:02:57,83,1,1
149,Meal_Preparation,2009-02-24 08:04:18,2009-02-24 08:41:38,2240,2,1
150,Meal_Preparation,2009-02-24 16:34:59,2009-02-24 16:49:12,853,3,1
151,Meal_Preparation,2009-02-25 08:10:05,2009-02-25 08:27:29,1044,1,1
152,Meal_Preparation,2009-02-25 08:28:12,2009-02-25 08:48:47,1235,2,1
153,Meal_Preparation,2009-02-25 18:02:42,2009-02-25 19:45:15,6153,3,1
154,Meal_Preparation,2009-02-26 08:02:24,2009-02-26 08:28:33,1569,1,1
155,Meal_Preparation,2009-02-26 09:31:15,2009-02-26 09:58:04,1609,2,1
156,Meal_Preparation,2009-02-26 12:14:14,2009-02-26 12:52:48,2314,3,1
157,Meal_Preparation,2009-02-26 19:04:12,2009-02-26 19:11:38,446,4,1
158,Meal_Preparation,2009-02-27 08:15:52,2009-02-27 08:32:35,1003,1,1
159,Meal_Preparation,2009-02-27 08:55:06,2009-02-27 08:55:48,42,2,1
160,Meal_Preparation,2009-02-27 18:07:44,2009-02-27 19:13:00,3916,3,1
161,Meal_Preparation,2009-03-02 17:05:21,2009-03-02 17:46:21,2460,1,1
162,Meal_Preparation,2009-03-03 08:24:21,2009-03-03 08:48:07,1426,1,1
163,Meal_Preparation,2009-03-03 08:56:35,2009-03-03 09:29:54,1999,2,1
164,Meal_Preparation,2009-03-03 12:09:11,2009-03-03 12:38:37,1766,3,1
165,Meal_Preparation,2009-03-04 10:37:34,2009-03-04 11:45:01,4047,1,1
166,Meal_Preparation,2009-03-04 19:13:49,2009-03-04 20:13:28,3579,2,1
167,Meal_Preparation,2009-03-05 07:34:24,2009-03-05 07:59:36,1512,1,1
168,Meal_Preparation,2009-03-05 08:46:55,2009-03-05 08:52:11,316,2,1
169,Meal_Preparation,2009-03-05 12:20:27,2009-03-05 12:52:42,1935,3,1
170,Meal_Preparation,2009-03-05 17:00:44,2009-03-05 17:33:03,1939,4,1
171,Meal_Preparation,2009-03-05 17:35:49,2009-03-05 18:19:15,2606,5,0
172,Meal_Preparation,2009-03-06 08:21:34,2009-03-06 08:25:56,262,1,1
173,Meal_Preparation,2009-03-06 08:26:04,2009-03-06 08:46:38,1234,2,1
174,Meal_Preparation,2009-03-06 19:14:44,2009-03-06 20:17:58,3794,3,1
175,Meal_Preparation,2009-03-09 08:21:01,2009-03-09 08:23:47,166,1,1
176,Meal_Preparation,2009-03-09 18:00:02,2009-03-09 21:28:23,12501,2,1
177,Meal_Preparation,2009-03-10 08:08:41,2009-03-10 08:48:00,2359,1,1
178,Meal_Preparation,2009-03-10 09:37:27,2009-03-10 09:57:39,1212,2,1
179,Meal_Preparation,2009-03-10 12:17:22,2009-03-10 13:00:14,2572,3,1
180,Meal_Preparation,2009-03-10 18:02:45,2009-03-10 19:40:57,5892,4,1
181,Meal_Preparation,2009-03-11 08:20:14,2009-03-11 08:32:07,713,1,1
182,Meal_Preparation,2009-03-11 09:54:51,2009-03-11 10:45:39,3048,2,1
183,Meal_Preparation,2009-03-11 11:06:55,2009-03-11 11:40:06,1991,3,1
184,Meal_Preparation,2009-03-12 07:12:40,2009-03-12 07:16:00,200,1,1
185,Meal_Preparation,2009-03-12 07:27:20,2009-03-12 07:34:04,404,2,1
186,Meal_Preparation,2009-03-12 11:07:12,2009-03-12 12:24:17,4625,3,1
187,Meal_Preparation,2009-03-13 06:36:39,2009-03-13 06:56:06,1167,1,1
188,Meal_Preparation,2009-03-23 07:00:25,2009-03-23 07:56:52,3387,1,1
189,Meal_Preparation,2009-03-23 09:55:09,2009-03-23 10:09:48,879,2,1
190,Meal_Preparation,2009-03-23 22:23:08,2009-03-23 22:29:08,360,3,1
191,Meal_Preparation,2009-03-24 08:16:04,2009-03-24 08:53:02,2218,1,1
192,Meal_Preparation,2009-03-24 09:33:30,2009-03-24 09:54:31,1261,2,1
193,Meal_Preparation,2009-03-24 12:46:08,2009-03-24 13:02:53,1005,3,1
194,Meal_Preparation,2009-03-24 16:28:44,2009-03-24 17:15:57,2833,4,1
195,Meal_Preparation,2009-03-25 08:46:49,2009-03-25 08:51:12,263,1,1
196,Meal_Preparation,2009-03-25 09:21:53,2009-03-25 09:42:03,1210,2,1
197,Meal_Preparation,2009-03-25 11:02:34,2009-03-25 11:24:36,1322,3,1
198,Meal_Preparation,2009-03-25 12:21:19,2009-03-25 12:32:06,647,4,1
199,Meal_Preparation,2009-03-25 16:00:00,2009-03-25 17:33:23,5603,5,0
200,Meal_Preparation,2009-03-25 20:40:28,2009-03-25 21:15:32,2104,6,0
201,Meal_Preparation,2009-03-26 08:00:04,2009-03-26 08:50:51,3047,1,1
202,Meal_Preparation,2009-03-26 13:53:56,2009-03-26 14:39:10,2714,2,1
203,Meal_Preparation,2009-03-26 17:47:24,2009-03-26 18:21:21,2037,3,1
204,Meal_Preparation,2009-03-26 20:25:15,2009-03-26 20:39:41,866,4,1
205,Meal_Preparation,2009-03-27 08:25:56,2009-03-27 08:44:14,1098,1,1
206,Meal_Preparation,2009-03-27 12:05:51,2009-03-27 12:21:12,921,2,1
207,Meal_Preparation,2009-03-27 18:32:32,2009-03-27 18:42:33,601,3,1
208,Meal_Preparation,2009-03-30 16:56:00,2009-03-30 18:42:07,6367,1,1
209,Meal_Preparation,2009-03-30 19:39:25,2009-03-30 19:55:54,989,2,1
210,Meal_Preparation,2009-03-31 08:11:30,2009-03-31 08:42:29,1859,1,1
211,Meal_Preparation,2009-03-31 20:55:00,2009-03-31 22:05:30,4230,2,1
212,Meal_Preparation,2009-04-01 10:47:29,2009-04-01 11:02:18,889,1,1
213,Meal_Preparation,2009-04-01 12:38:50,2009-04-01 13:05:31,1601,2,1
214,Meal_Preparation,2009-04-02 07:56:19,2009-04-02 07:58:43,144,1,1
215,Meal_Preparation,2009-04-02 08:13:03,2009-04-02 08:51:33,2310,2,1
216,Meal_Preparation,2009-04-02 11:47:24,2009-04-02 12:52:04,3880,3,1
217,Meal_Preparation,2009-04-03 08:14:31,2009-04-03 08:49:46,2115,1,1
218,Meal_Preparation,2009-04-03 09:18:38,2009-04-03 09:28:55,617,2,1
219,Meal_Preparation,2009-04-03 12:20:17,2009-04-03 12:34:10,833,3,1
220,Meal_Preparation,2009-04-03 13:42:09,2009-04-03 14:19:06,2217,4,1
221,Meal_Preparation,2009-04-03 17:51:49,2009-04-03 18:14:31,1362,5,0
222,Watch_TV,2009-02-02 11:41:34,2009-02-02 12:31:02,2968,1,1
223,Watch_TV,2009-02-03 18:01:23,2009-02-03 19:10:23,4140,1,1
224,Watch_TV,2009-02-04 17:15:29,2009-02-04 19:34:22,8333,1,1
225,Watch_TV,2009-02-05 08:26:12,2009-02-05 09:46:46,4834,1,1
226,Watch_TV,2009-02-09 20:07:11,2009-02-09 23:55:30,13699,1,1
227,Watch_TV,2009-02-10 17:03:57,2009-02-10 19:00:29,6992,1,1
228,Watch_TV,2009-02-11 15:41:22,2009-02-11 16:14:05,1963,1,1
229,Watch_TV,2009-02-12 20:28:48,2009-02-12 21:12:06,2598,1,1
230,Watch_TV,2009-02-13 17:25:04,2009-02-13 19:18:39,6815,1,1
231,Watch_TV,2009-02-17 17:18:03,2009-02-17 19:11:48,6825,1,1
232,Watch_TV,2009-02-18 17:16:55,2009-02-18 22:45:57,19742,1,0
233,Watch_TV,2009-02-23 14:29:55,2009-02-23 14:53:07,1392,1,1
234,Watch_TV,2009-02-23 15:07:03,2009-02-23 16:34:59,5276,2,0
235,Watch_TV,2009-02-24 16:35:20,2009-02-24 20:38:16,14576,1,1
236,Watch_TV,2009-02-25 18:17:33,2009-02-25 19:44:31,5218,1,1
237,Watch_TV,2009-02-26 12:02:39,2009-02-26 13:02:25,3586,1,1
238,Watch_TV,2009-02-27 19:13:12,2009-02-27 23:09:55,14203,1,1
239,Watch_TV,2009-03-04 10:37:25,2009-03-04 11:39:55,3750,1,1
240,Watch_TV,2009-03-04 21:04:39,2009-03-04 23:19:41,8102,2,0
241,Watch_TV,2009-03-09 21:37:59,2009-03-09 22:22:59,2700,1,1
242,Watch_TV,2009-03-10 12:30:53,2009-03-10 13:00:53,1800,1,1
243,Watch_TV,2009-03-11 18:37:38,2009-03-11 19:11:17,2019,1,1
244,Watch_TV,2009-03-12 08:57:42,2009-03-12 10:53:41,6959,1,1
245,Watch_TV,2009-03-23 19:19:08,2009-03-23 20:24:49,3941,1,1
246,Watch_TV,2009-03-25 16:34:40,2009-03-25 19:39:57,11117,1,1
247,Watch_TV,2009-03-26 12:04:23,2009-03-26 15:42:50,13107,1,1
248,Watch_TV,2009-03-27 17:46:35,2009-03-27 20:05:35,8340,1,1
249,Watch_TV,2009-04-01 09:19:02,2009-04-01 09:47:12,1690,1,1
250,Watch_TV,2009-04-02 11:47:16,2009-04-02 13:04:07,4611,1,1
251,Watch_TV,2009-04-03 10:58:52,2009-04-03 11:27:07,1695,1,1
252,Watch_TV,2009-04-03 12:20:04,2009-04-03 12:32:24,740,2,0
253,R1_Work,2009-02-02 14:29:03,2009-02-02 17:37:22,11299,1,1
254,R1_Work,2009-02-02 19:00:18,2009-02-02 19:30:07,1789,2,1
255,R1_Work,2009-02-03 17:57:47,2009-02-03 19:10:13,4346,1,1
256,R1_Work,2009-02-04 21:05:38,2009-02-04 22:48:19,6161,1,1
257,R1_Work,2009-02-05 18:38:09,2009-02-05 21:50:56,11567,1,1
258,R1_Work,2009-02-06 14:28:42,2009-02-06 14:56:21,1659,1,1
259,R1_Work,2009-02-06 17:15:22,2009-02-06 17:47:16,1914,2,1
260,R1_Work,2009-02-06 20:01:32,2009-02-06 22:12:26,7854,3,0
261,R1_Work,2009-02-09 15:40:39,2009-02-09 18:32:28,10309,1,1
262,R1_Work,2009-02-09 18:46:07,2009-02-09 19:31:02,2695,2,1
263,R1_Work,2009-02-10 11:00:45,2009-02-10 11:09:44,539,1,1
264,R1_Work,2009-02-10 19:15:20,2009-02-10 19:49:51,2071,2,1
265,R1_Work,2009-02-16 20:42:05,2009-02-16 22:40:14,7089,1,1
266,R1_Work,2009-02-17 19:21:08,2009-02-17 22:37:55,11807,1,1
267,R1_Work,2009-02-18 20:43:16,2009-02-18 22:43:13,7197,1,1
268,R1_Work,2009-02-19 17:00:10,2009-02-19 17:22:46,1356,1,1
269,R1_Work,2009-02-19 18:36:24,2009-02-19 20:00:50,5066,2,1
270,R1_Work,2009-02-20 04:27:51,2009-02-20 06:23:24,6933,1,1
271,R1_Work,2009-02-20 14:04:11,2009-02-20 15:22:50,4719,2,1
272,R1_Work,2009-02-23 17:53:53,2009-02-23 18:52:59,3546,1,1
273,R1_Work,2009-02-24 07:32:58,2009-02-24 07:57:57,1499,1,1
274,R1_Work,2009-02-24 08:03:20,2009-02-24 08:47:44,2664,2,1
275,R1_Work,2009-02-24 21:08:19,2009-02-24 21:37:57,1778,3,0
276,R1_Work,2009-02-25 20:34:03,2009-02-25 21:31:35,3452,1,1
277,R1_Work,2009-02-26 17:00:17,2009-02-26 17:51:59,3102,1,1
278,R1_Work,2009-02-26 19:12:07,2009-02-26 22:05:48,10421,2,1
279,R1_Work,2009-02-26 22:10:37,2009-02-26 23:35:06,5069,3,0
280,R1_Work,2009-02-27 15:23:59,2009-02-27 16:07:20,2601,1,1
281,R1_Work,2009-02-27 18:55:46,2009-02-28 00:47:58,21132,2,0
282,R1_Work,2009-03-02 17:46:44,2009-03-02 20:13:38,8814,1,1
283,R1_Work,2009-03-03 07:10:54,2009-03-03 08:40:15,5361,1,1
284,R1_Work,2009-03-03 17:00:05,2009-03-03 22:02:25,18140,2,0
285,R1_Work,2009-03-04 07:26:00,2009-03-04 07:57:26,1886,1,1
286,R1_Work,2009-03-04 17:00:07,2009-03-04 19:34:30,9263,2,1
287,R1_Work,2009-03-04 20:23:00,2009-03-04 22:58:29,9329,3,0
288,R1_Work,2009-03-05 17:00:02,2009-03-05 17:34:25,2063,1,1
289,R1_Work,2009-03-05 18:43:55,2009-03-05 21:07:49,8634,2,1
290,R1_Work,2009-03-06 14:25:37,2009-03-06 17:06:04,9627,1,1
291,R1_Work,2009-03-09 08:23:58,2009-03-09 08:41:47,1069,1,1
292,R1_Work,2009-03-09 22:26:57,2009-03-09 23:15:34,2917,2,1
293,R1_Work,2009-03-10 19:41:40,2009-03-10 22:17:35,9355,1,1
294,R1_Work,2009-03-11 18:21:07,2009-03-11 22:07:55,13608,1,1
295,R1_Work,2009-03-12 07:27:14,2009-03-12 07:32:18,304,1,1
296,R1_Work,2009-03-12 09:20:53,2009-03-12 10:07:32,2799,2,1
297,R1_Work,2009-03-12 17:31:15,2009-03-12 22:18:17,17222,3,0
298,R1_Work,2009-03-13 07:40:37,2009-03-13 07:59:54,1157,1,1
299,R1_Work,2009-03-23 09:15:17,2009-03-23 09:42:21,1624,1,1
300,R1_Work,2009-03-23 10:21:29,2009-03-23 10:51:18,1789,2,1
301,R1_Work,2009-03-23 14:24:33,2009-03-23 17:11:04,9991,3,0
302,R1_Work,2009-03-24 09:01:01,2009-03-24 09:10:13,552,1,1
303,R1_Work,2009-03-26 20:43:58,2009-03-26 23:08:34,8676,1,1
304,R1_Work,2009-03-27 20:07:17,2009-03-28 01:34:04,19607,1,0
305,R1_Work,2009-03-30 16:08:19,2009-03-30 18:03:00,6881,1,1
306,R1_Work,2009-03-30 18:13:57,2009-03-30 18:33:20,1163,2,1
307,R1_Work,2009-03-31 08:18:53,2009-03-31 08:59:38,2445,1,1
308,R1_Work,2009-03-31 21:04:08,2009-03-31 22:41:02,5814,2,1
309,R1_Work,2009-04-02 08:01:06,2009-04-02 08:01:57,51,1,1
310,R1_Work,2009-04-02 17:51:12,2009-04-02 22:28:09,16617,2,0
311,R1_Work,2009-04-03 19:33:45,2009-04-03 20:40:53,4028,1,1
312,R1_Sleep,2009-02-02 22:10:55,2009-02-03 05:57:22,27987,1,1
313,R1_Sleep,2009-02-03 22:25:44,2009-02-04 05:56:32,27048,1,1
